а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
199581.6,167972.7,156108.0,169000.3,194023.8,207487.8,155706.1,164301.1,171933.5,211047.5,176293.1,160914.3,169203.6,162834.7,199731.8,173152.7,157806.9,212108.0,234550.6,212090.1,252279.3,231608.7,237174.9,347735.8,239920.3,215317.3,258348.2,225721.8,214075.2,199849.2,170170.1,168376.8
183261.1,203243.1,149086.4,155658.4,155111.6,193718.3,181419.9,156919.5,164569.0,165024.8,212985.2,187288.8,159455.8,212884.2,235668.4,208900.1,262175.7,219438.5,231254.2,348665.9,228313.6,221024.8,265130.2,210057.6,239942.5,211330.3,154506.6,190824.0,210716.1,164644.1,172790.2,160416.7
255927.8,218415.9,247520.9,356383.8,250813.3,233521.2,247221.1,228666.4,237008.1,198068.5,163804.6,189120.3,206688.7,177798.6,158175.8,154325.4,192713.7,211698.7,154652.0,145190.0,152872.1,210797.9,181774.2,154466.7,153886.2,164683.9,205171.2,167080.6,145119.3,203420.3,222601.1,226837.6
200401.3,201994.0,152734.0,160180.7,163614.3,208369.0,168438.5,147020.6,164509.3,173145.4,199600.6,176687.9,148474.0,218383.2,234899.5,208604.8,246205.1,221308.6,240677.9,356146.4,231407.4,217510.4,272078.0,227945.2,218528.1,207280.4,158437.7,188236.6,211156.3,165063.4,155048.2,172339.2
173312.6,151008.5,148609.6,152322.9,200762.1,160194.6,133442.9,194525.2,210684.8,200985.6,237803.2,217649.2,237140.3,342170.4,239676.4,224928.9,254816.0,233346.2,237247.8,204541.0,170776.2,188909.4,220114.5,188130.9,175610.1,181612.0,205645.0,222050.9,165588.6,164656.2,170807.2,207356.8
182847.2,149937.1,157672.2,162475.1,207694.3,179426.2,150884.2,209712.2,245541.1,214836.8,254312.4,231873.2,229820.6,360435.7,238365.8,203888.7,251744.2,223588.8,221948.4,205097.5,157293.1,179636.8,217720.6,167240.2,160752.5,166984.3,191784.7,213147.0,152551.2,161264.3,156234.8,209714.4
233206.4,209824.3,165176.1,173832.4,219760.5,178312.0,172127.6,176191.6,189554.9,221933.0,165862.1,158342.3,167720.2,212911.7,193782.2,157327.1,158722.2,150103.7,202579.3,172612.2,144284.6,192396.7,225075.5,211513.8,246782.4,224599.2,229813.8,347272.8,244931.0,208145.0,247008.0,214721.1
212649.2,216751.4,256220.9,207416.0,231829.4,341111.9,227045.4,225351.2,251816.4,212523.5,234335.5,206553.8,162092.2,183538.1,206522.6,178985.4,167813.2,163868.8,199203.0,216375.4,155283.4,163243.8,168878.2,202263.5,181256.1,163668.1,159056.1,160786.8,215686.4,172148.3,158436.7,213715.2
191178.2,150306.1,168826.1,167559.5,187264.3,173780.7,151934.2,201872.0,238623.5,204551.2,239191.7,232398.0,223601.1,337426.6,247463.4,213042.4,254709.9,226554.2,222594.5,207995.8,182528.1,183199.9,207907.5,169547.4,161679.6,169865.4,189961.9,209743.9,160638.1,163106.3,164892.5,212482.1
227040.6,216058.6,262608.1,222265.8,232809.4,358263.6,243553.1,219721.1,261712.9,217201.7,232691.8,203945.7,156351.0,171538.3,208454.8,178843.0,152795.7,158646.0,185332.8,197277.7,156616.3,156401.2,150263.7,203325.2,189253.5,155994.1,163840.3,168758.4,214951.5,186809.5,157153.9,205946.6
245127.9,366645.3,245643.5,221106.5,264390.0,231223.5,222219.1,215820.2,162680.1,186349.9,222788.7,171593.3,163953.6,164780.2,203782.8,210009.3,138535.0,152067.3,151215.4,200255.2,171977.5,143283.0,149876.4,165768.8,196257.6,166387.0,148453.8,200204.9,231709.4,216297.0,258556.6,227467.0
238233.1,218844.0,261007.4,238436.9,233867.8,347258.3,236989.7,228422.9,260942.4,219075.9,217387.2,208899.1,166160.8,197313.7,210937.4,170921.4,173638.7,169900.9,190798.2,213761.8,151532.1,162149.3,155501.2,192108.9,159269.9,143604.7,154873.2,155176.4,196894.2,173395.6,147219.7,221903.1
168827.0,174054.5,159249.4,214083.1,189930.3,174368.0,164598.2,160914.7,209895.8,182274.9,148387.7,206522.4,220868.2,203727.9,258093.6,222309.9,245813.0,339551.5,239090.5,244656.5,239462.0,220894.1,243919.4,183114.4,158702.3,181565.6,178917.8,172867.6,169463.8,153200.5,189253.2,197847.9
374157.2,237244.7,234548.4,263993.2,208482.1,240825.5,214202.4,147105.3,196545.0,222721.3,171374.5,178202.8,159192.6,187728.7,214238.5,143089.3,158360.5,139282.7,185532.7,174450.5,148558.6,147441.9,155299.5,206626.2,174126.2,146435.7,205245.4,227957.1,218888.2,273948.7,225376.6,235244.1
