,g = 0,g = 1,g = 2,g = 3,g = 4,g = 5,g = 6,g = 7,g = 8,g = 9,g = 10,g = 11,g = 12,g = 13,g = 14,g = 15,g = 16,g = 17,g = 18,g = 19,g = 20,g = 21,g = 22,g = 23,g = 24,g = 25,g = 26,g = 27,g = 28,g = 29,g = 30,g = 31
Y0,8.66783,9.14128,7.10604,7.84443,7.75034,9.18574,8.88337,7.81922,8.15065,8.76492,9.97413,8.79839,7.38817,10.63603,10.90852,10.09071,12.40108,10.94554,10.9199,16.71396,11.23545,10.235,12.73171,11.04792,10.19603,9.85445,8.18446,8.74746,9.76787,8.05832,7.08776,7.72034
Y1,7.43209,8.03722,9.6604,8.64511,7.34103,10.21221,11.24517,10.67333,12.09076,11.16756,11.90053,16.91383,11.75265,10.46927,13.17456,10.26685,10.64485,10.0193,7.24101,9.29254,10.0708,7.94685,7.37487,8.16152,8.70726,9.39791,7.71516,7.25023,7.91806,8.82443,8.50091,6.90875
Y2,17.13607,10.71495,10.1579,11.73411,10.1178,11.55806,10.09677,7.07179,8.89975,9.89197,8.68488,8.01223,6.7968,9.19669,10.06301,7.75012,7.89598,6.85864,10.44438,9.35982,7.5531,7.43064,7.80284,10.15167,9.33176,7.32847,9.82214,11.42564,10.56084,12.50574,10.11089,10.49157
Y3,9.08543,7.47096,7.10557,7.50274,9.40083,9.22829,7.15325,9.2998,10.9455,10.99254,12.71498,11.29653,10.31014,17.66052,12.16305,10.82006,11.77461,10.62999,10.65558,10.41234,7.43309,8.02474,10.10811,8.6856,7.5849,7.51941,8.10988,10.87438,7.569,7.75006,7.04979,9.62535
Y4,9.44365,8.6885,7.08648,7.05407,7.22603,9.16654,8.87337,6.82451,9.39119,10.53114,10.38072,12.64979,11.09779,10.83065,17.572,12.26548,10.9818,12.71827,10.42888,11.2646,10.7361,7.35647,8.72884,9.8501,8.34858,7.89856,7.62378,8.61314,10.39725,7.84275,7.80245,7.28354
Y5,10.08216,12.56126,16.32573,10.49895,11.72834,11.96845,10.27179,12.30854,9.61,7.54731,10.05649,8.94902,8.14244,8.03804,7.38299,9.58539,9.06372,7.4324,7.6804,7.61019,9.58824,8.11601,6.98386,7.39249,7.71848,9.9614,8.58118,7.70208,10.75882,10.726,10.34107,12.24378
Y6,7.56592,7.68777,8.22614,10.345,8.75761,6.90303,6.78314,8.12952,9.33631,8.09648,6.17344,9.402,10.71326,10.03221,11.6581,9.91789,11.61239,17.68212,11.39985,10.46676,12.17151,11.43723,10.97125,10.05101,7.25143,8.85853,10.55761,8.78028,7.18098,8.06464,10.22157,10.52204
Y7,10.92972,10.83683,12.44244,10.73865,10.98103,17.02185,11.5585,11.13547,11.49705,11.1327,11.84954,9.89146,7.79855,8.70749,9.63688,9.30725,6.95588,7.48837,8.71883,9.50144,7.74521,7.58534,7.15219,10.16456,8.67488,7.19282,7.28958,7.3713,9.63188,8.95568,7.20315,9.8605
Y8,7.97513,7.03281,10.08878,9.22192,7.35134,7.56665,8.09271,10.01388,8.80995,7.1554,9.70673,11.23209,10.09989,12.66569,10.53024,10.66184,18.459,11.18003,10.06933,12.4535,10.82143,10.45287,10.48729,7.21101,8.20744,10.53737,7.92879,7.0987,7.65528,8.93854,10.22198,7.02941
Y9,10.88751,10.83384,13.34533,10.64894,11.08795,16.0968,10.32408,10.8016,12.42584,9.49135,11.16454,10.54244,7.78895,9.7708,9.70859,8.30316,8.31521,7.56938,8.44935,9.2072,6.99014,7.72678,7.21543,8.29482,8.05294,7.72034,7.58683,7.89831,10.35788,8.6902,8.03914,11.62135
